age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y_true,p_yes,cum_calls,cum_contracts_true,cum_contracts_expected,rank
52,admin.,married,university.degree,no,no,no,cellular,may,thu,613,1,3,2,success,-1.8,93.876,-40.0,0.677,5008.7,1,0.956606741070771,1,1,0.956606741070771,1
68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,340,1,3,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,0.9407885069535556,2,2,1.8973952480243268,2
92,retired,married,unknown,no,no,yes,cellular,aug,tue,1064,1,3,1,success,-1.7,94.027,-38.3,0.904,4991.6,1,0.9398051613265583,3,3,2.837200409350885,3
92,retired,married,unknown,no,no,yes,cellular,aug,wed,370,1,3,4,success,-1.7,94.027,-38.3,0.903,4991.6,1,0.9326788553259142,4,4,3.769879264676799,4
30,technician,single,professional.course,no,no,no,cellular,sep,tue,706,1,6,1,success,-1.1,94.199,-37.5,0.877,4963.6,0,0.9241218402868888,5,4,4.694001104963688,5
36,management,married,university.degree,no,no,no,cellular,jun,tue,867,1,3,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,0.9164978832806258,6,5,5.610498988244314,6
52,management,married,university.degree,no,no,no,cellular,may,fri,404,2,9,1,success,-1.8,93.876,-40.0,0.684,5008.7,1,0.9138937496465471,7,6,6.524392737890861,7
37,admin.,married,university.degree,no,unknown,unknown,cellular,jun,fri,602,1,10,1,success,-1.7,94.055,-39.8,0.719,4991.6,1,0.9116262237469668,8,7,7.436018961637828,8
58,blue-collar,married,basic.4y,no,yes,no,cellular,aug,wed,771,1,3,1,success,-1.7,94.027,-38.3,0.9,4991.6,1,0.910440902712146,9,8,8.346459864349974,9
37,technician,married,professional.course,no,yes,yes,cellular,mar,wed,395,1,9,1,success,-1.8,93.369,-34.8,0.644,5008.7,0,0.9054943893064967,10,8,9.251954253656471,10
62,retired,married,university.degree,no,no,no,cellular,nov,thu,483,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,1,0.9054943893064967,11,9,10.157448642962969,11
92,retired,married,unknown,no,yes,no,cellular,may,thu,271,1,6,2,success,-1.8,93.876,-40.0,0.683,5008.7,0,0.9054943893064967,12,9,11.062943032269466,12
80,retired,divorced,basic.4y,no,yes,yes,cellular,apr,thu,554,1,10,2,success,-1.8,93.749,-34.6,0.644,5008.7,1,0.9050721364017693,13,10,11.968015168671235,13
29,admin.,married,university.degree,no,unknown,unknown,cellular,jul,tue,311,1,3,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,0.9035092935830494,14,11,12.871524462254284,14
48,technician,married,professional.course,no,no,no,cellular,oct,thu,491,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.9028844780612024,15,12,13.774408940315485,15
32,admin.,single,university.degree,no,no,no,cellular,jun,tue,856,1,12,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,0.892855650204196,16,13,14.66726459051968,16
52,management,married,university.degree,no,yes,no,cellular,may,fri,787,3,3,3,success,-1.8,93.876,-40.0,0.684,5008.7,1,0.8911644468031795,17,14,15.55842903732286,17
72,retired,married,basic.4y,no,no,yes,cellular,jul,fri,483,4,8,1,success,-1.7,94.215,-40.3,0.822,4991.6,1,0.8891756037277491,18,15,16.44760464105061,18
76,retired,married,basic.4y,no,yes,no,cellular,may,fri,1205,2,6,2,success,-1.8,93.876,-40.0,0.684,5008.7,1,0.8888277226398301,19,16,17.33643236369044,19
59,retired,divorced,basic.4y,no,yes,yes,cellular,jul,mon,796,1,6,1,success,-1.7,94.215,-40.3,0.827,4991.6,1,0.8888277226398301,20,17,18.225260086330273,20
78,retired,married,unknown,no,no,no,cellular,mar,thu,272,1,6,2,success,-1.8,93.369,-34.8,0.635,5008.7,1,0.8888277226398301,21,18,19.114087808970105,21
31,admin.,single,university.degree,no,yes,no,cellular,jul,fri,815,2,13,2,success,-1.7,94.215,-40.3,0.861,4991.6,1,0.8888277226398301,22,19,20.002915531609936,22
48,admin.,divorced,high.school,no,no,no,cellular,jun,wed,657,1,6,1,success,-1.7,94.055,-39.8,0.704,4991.6,1,0.8844417577275493,23,20,20.887357289337487,23
34,admin.,single,university.degree,no,no,no,cellular,mar,tue,241,1,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0.8844417577275493,24,21,21.771799047065038,24
66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,222,3,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,1,0.8844417577275493,25,22,22.65624080479259,25
35,admin.,married,university.degree,no,no,no,cellular,jul,mon,768,2,3,4,success,-1.7,94.215,-40.3,0.889,4991.6,0,0.8844417577275493,26,22,23.54068256252014,26
50,admin.,single,university.degree,no,no,no,cellular,aug,tue,372,1,6,2,success,-1.7,94.027,-38.3,0.904,4991.6,1,0.8844417577275493,27,23,24.42512432024769,27
60,retired,married,university.degree,no,no,no,cellular,sep,thu,529,2,6,1,success,-1.1,94.199,-37.5,0.884,4963.6,1,0.8844417577275493,28,24,25.30956607797524,28
